X 範: XGBoost_score,計數,比例(%),平均(bps),中位數(bps),標準差(bps)
"(-0.0082, -0.0040]",88500,9.77,-47.8797,-66.4011,390.1457
"(-0.0040, -0.0035]",89226,9.85,-38.2106,-60.698,320.6507
"(-0.0035, -0.0031]",89073,9.83,-35.0645,-52.2193,285.9994
"(-0.0031, -0.0027]",89213,9.85,-31.7036,-45.045,255.4919
"(-0.0027, -0.0024]",89356,9.87,-27.095,-38.7597,235.7366
"(-0.0024, -0.0020]",88932,9.82,-23.2914,-32.8947,215.5084
"(-0.0020, -0.0016]",89061,9.83,-17.857,-25.5102,194.3577
"(-0.0016, -0.0013]",89225,9.85,-12.7768,-17.1821,180.1031
"(-0.0013, -7.63e-04]",89073,9.83,-9.1365,-12.7551,165.487
"(-7.63e-04, 0.0059]",89783,9.91,-5.3684,0.0,166.2567
nan,14270,1.58,,,
All Cases,891442,98.42,-24.8104,-30.2115,251.0398
