X 範: XGBoost_score,計數,比例(%),平均(bps),中位數(bps),標準差(bps)
"(-0.0076, -0.0040]",88499,9.77,-46.5548,-65.3595,392.4701
"(-0.0040, -0.0035]",89228,9.85,-38.3652,-61.7284,322.5444
"(-0.0035, -0.0031]",89072,9.83,-35.7097,-52.2193,284.0337
"(-0.0031, -0.0027]",89213,9.85,-31.5537,-45.2489,255.3023
"(-0.0027, -0.0024]",89355,9.87,-27.7568,-39.3701,235.0948
"(-0.0024, -0.0020]",88933,9.82,-22.4568,-32.5203,214.5519
"(-0.0020, -0.0016]",89061,9.83,-18.7123,-25.974,193.6458
"(-0.0016, -0.0013]",89222,9.85,-12.981,-17.6367,179.0496
"(-0.0013, -7.77e-04]",89074,9.83,-8.8504,-12.4844,164.5705
"(-7.77e-04, 0.0054]",89785,9.91,-5.4303,0.0,165.9818
nan,14270,1.58,,,
All Cases,891442,98.42,-24.8104,-30.2115,251.0398
