X 範: XGBoost_score,計數,比例(%),平均(bps),中位數(bps),標準差(bps)
"(-0.0093, -0.0045]",88465,9.77,-53.7181,-74.0741,394.158
"(-0.0045, -0.0037]",89190,9.85,-41.6759,-64.5161,319.3317
"(-0.0037, -0.0031]",89036,9.83,-34.813,-54.0176,285.3686
"(-0.0031, -0.0027]",89175,9.85,-29.916,-46.1894,261.8013
"(-0.0027, -0.0023]",89322,9.87,-26.43,-39.8406,236.139
"(-0.0023, -0.0019]",88895,9.82,-22.5712,-33.5196,214.8284
"(-0.0019, -0.0015]",89022,9.83,-18.1723,-26.9542,196.7771
"(-0.0015, -0.0011]",89188,9.85,-12.63,-17.1233,176.7677
"(-0.0011, -4.73e-04]",89036,9.83,-6.4439,-10.1678,157.4155
"(-4.73e-04, 0.0059]",89749,9.91,-3.019,0.0,156.8042
nan,14268,1.58,,,
All Cases,891078,98.42,-24.9055,-30.303,250.9855
