feature,mean_shap,mean_abs_shap
ts_mean_close_5,0.00025062444501752215,0.0007581615962859007
ts_std_close_10,-0.00011455064745440024,0.0007185432147175001
cs_zscore_turnover,-0.00012966588797575995,0.0004721547582730238
Margin_Maintenance_Ratio,4.94367748418047e-05,0.0004191637616777976
