X 範: XGBoost_score,計數,比例(%),平均(bps),中位數(bps),標準差(bps)
"(-0.0132, -0.0049]",88465,9.77,-53.86,-73.9372,392.0776
"(-0.0049, -0.0039]",89190,9.85,-42.2225,-63.5593,314.6485
"(-0.0039, -0.0032]",89036,9.83,-36.5236,-55.5556,280.3749
"(-0.0032, -0.0027]",89175,9.85,-31.2041,-44.9438,255.6385
"(-0.0027, -0.0023]",89322,9.87,-26.0651,-39.6825,234.2003
"(-0.0023, -0.0019]",88895,9.82,-22.803,-32.8228,212.9126
"(-0.0019, -0.0014]",89022,9.83,-15.8816,-25.6904,198.4578
"(-0.0014, -9.52e-04]",89189,9.85,-11.9286,-17.7936,180.2826
"(-9.52e-04, -3.23e-04]",89036,9.83,-6.0862,-10.395,165.6555
"(-3.23e-04, 0.0191]",89748,9.91,-2.8165,0.0,179.2838
nan,14268,1.58,,,
All Cases,891078,98.42,-24.9055,-30.303,250.9855
