feature,mean_shap,mean_abs_shap
turnover,-5.642781995764395e-06,0.0005394189167107906
cs_zscore_ts_std_close_10,-2.86377551771276e-05,0.000538939080890479
Margin_Maintenance_Ratio,9.497412166313015e-05,0.0003861702017527735
cs_zscore_ts_mean_close_5,-5.71812430678882e-05,0.0003733289676371104
